,Genome,time_create,mother,age
118,Left Eat Foto Right Left Chemo Right Up Chemo Right Foto Foto Eat Down Chemo Foto Chemo Eat Foto Eat Up Left Left Down Up,0,-1,11
119,Down Chemo Eat Down Up Right Down Down Foto Chemo Up Up Chemo Foto Left Eat Left Eat Foto Foto Eat Chemo Up Up Eat,0,-1,15
120,Eat Right Left Foto Right Down Chemo Foto Left Left Up Chemo Foto Right Chemo Eat Right Right Left Foto Left Left Up Eat Down,0,-1,16
121,Right Left Up Chemo Eat Chemo Right Foto Up Foto Chemo Foto Down Left Eat Up Left Right Eat Up Down Right Right Left Eat,0,-1,14
122,Left Up Down Right Down Down Left Right Left Down Down Foto Up Up Right Chemo Left Eat Chemo Chemo Chemo Eat Up Up Left,0,-1,6
123,Down Left Foto Foto Left Left Left Eat Eat Chemo Eat Up Eat Right Up Right Left Left Down Right Foto Right Right Eat Left,0,-1,8
124,Up Right Down Up Chemo Right Up Foto Left Up Left Foto Foto Left Eat Eat Left Chemo Down Foto Up Eat Left Chemo Right,0,-1,7
125,Up Up Chemo Up Up Foto Eat Eat Left Foto Down Chemo Left Foto Left Foto Down Chemo Up Down Left Eat Chemo Down Up,0,-1,11
126,Left Left Eat Up Left Left Chemo Right Eat Down Chemo Chemo Up Down Down Down Right Chemo Chemo Chemo Down Chemo Up Right Foto,0,-1,7
127,Left Right Down Chemo Chemo Down Right Left Foto Eat Up Foto Down Left Up Up Chemo Down Chemo Right Up Chemo Eat Left Down,0,-1,10
128,Down Left Eat Up Chemo Right Up Left Down Eat Right Foto Right Chemo Chemo Left Up Left Up Down Down Down Chemo Eat Foto,0,-1,6
129,Down Left Down Down Right Right Up Left Right Left Foto Eat Foto Foto Chemo Down Foto Chemo Right Foto Right Chemo Down Eat Eat,0,-1,13
130,Chemo Left Down Eat Up Eat Down Eat Chemo Chemo Up Eat Right Right Foto Chemo Up Down Left Down Chemo Chemo Left Up Chemo,0,-1,5
131,Foto Down Up Up Eat Right Foto Down Down Eat Foto Foto Foto Down Chemo Foto Up Foto Left Right Eat Eat Chemo Eat Eat,0,-1,229
132,Left Up Foto Eat Right Down Foto Down Up Eat Up Eat Down Right Up Foto Eat Right Foto Foto Eat Foto Left Right Left,0,-1,11
133,Left Foto Chemo Right Foto Left Chemo Down Foto Down Foto Chemo Up Foto Chemo Down Right Up Right Right Down Up Foto Down Up,0,-1,5
134,Down Foto Foto Chemo Eat Chemo Eat Foto Left Eat Up Foto Chemo Foto Down Foto Left Foto Down Foto Chemo Right Up Chemo Eat,0,-1,86
135,Left Left Foto Down Down Up Right Right Down Left Down Right Down Up Left Right Foto Right Eat Up Left Left Eat Left Down,0,-1,7
136,Foto Eat Right Chemo Left Left Left Eat Eat Left Chemo Eat Left Eat Right Down Chemo Left Foto Foto Down Foto Up Eat Down,0,-1,22
137,Right Foto Left Down Right Chemo Right Up Chemo Foto Eat Right Right Down Left Foto Chemo Foto Chemo Eat Left Up Foto Left Down,0,-1,9
138,Chemo Down Foto Chemo Foto Eat Eat Up Right Down Left Foto Chemo Foto Down Chemo Foto Foto Right Chemo Eat Down Eat Foto Down,0,-1,7
139,Eat Right Foto Up Right Left Eat Right Chemo Chemo Chemo Left Chemo Foto Eat Up Eat Foto Up Eat Down Chemo Right Right Down,0,-1,7
140,Eat Foto Foto Up Eat Left Down Left Foto Left Up Right Right Up Foto Eat Chemo Right Down Up Down Right Eat Down Up,0,-1,7
141,Left Up Chemo Chemo Chemo Up Down Chemo Down Right Right Right Down Left Left Left Right Chemo Foto Right Left Up Foto Foto Left,0,-1,10
142,Up Up Right Foto Eat Chemo Chemo Down Chemo Left Eat Up Foto Foto Chemo Right Left Eat Down Down Eat Foto Eat Down Chemo,0,-1,3
143,Eat Foto Chemo Down Down Down Foto Eat Eat Left Eat Up Left Left Chemo Up Chemo Down Foto Right Chemo Right Chemo Up Right,0,-1,8
144,Foto Down Chemo Up Chemo Left Eat Right Right Eat Up Right Left Chemo Down Right Right Chemo Right Foto Down Down Up Eat Right,0,-1,7
145,Right Right Left Eat Foto Down Left Eat Chemo Up Eat Eat Chemo Up Up Up Up Down Foto Foto Left Up Up Foto Down,0,-1,5
146,Eat Right Right Chemo Down Down Up Up Left Down Eat Eat Left Left Foto Chemo Down Eat Chemo Eat Right Chemo Eat Down Up,0,-1,6
147,Right Foto Right Eat Chemo Right Up Foto Chemo Foto Down Eat Left Down Up Right Foto Eat Up Up Foto Eat Eat Up Foto,0,-1,2
148,Right Down Chemo Eat Down Up Eat Foto Left Eat Chemo Right Right Eat Down Up Down Up Right Up Left Right Eat Chemo Eat,0,-1,19
